message,selected_messages,sentiment
sad babies make for angsty writing,sad babies make angsty writing,negative
 dude you are awesome,dude awesome,positive
 fantastic love all things krautrock,fantastic love things krautrock,positive
went to see wolverine with the husband who is off work today  was pretty good,went see wolverine husband work today pretty good,positive
its patio weather in kirkland  its also launchyerboat weather except im missing the boat part,patio weather kirkland also launchyerboat weather except im missing boat part,negative
 just got it a few hours ago so not yet,got hours ago yet,neutral
im an incredibly happy person with  energy love to dance  laughthe only thing that i knowim one of the most down to earth ppl,im incredibly happy person energy love dance laughthe thing knowim one earth ppl,positive
just had a lovely walk with my dog  all on my own in the dark  but it was a nice walk though hehe x,lovely walk dog dark nice walk though hehe x,positive
 me too hehe i hate colds totaly annoying,hehe hate colds totaly annoying,negative
 lol  on blipfm is not the  on twitter i hate that song btw,lol blipfm twitter hate song btw,negative
 awww thanks jon  i appreciate that,awww thanks jon appreciate,positive
about to get my wisdom teeth pulled,get wisdom teeth pulled,neutral
on my way to work im runnin late and im sooooo tired,way work im runnin late im sooooo tired,negative
trying to plan a huge birthday party by myself,trying plan huge birthday party,neutral
my ipod came back to me after visits to cali china and alaskabut its at home and im  work,ipod came back visits cali china alaskabut home im work,neutral
may the th be with you,may th,neutral
why are embossers so expensive can i do get one on the cheap trying to save  papersource order goes in tonight sry bank account,embossers expensive get one cheap trying save papersource order goes tonight sry bank account,neutral
sometimes i feel pathetic going to bed so early oh well  i totally get clam chowder tomorrow d,sometimes feel pathetic going bed early oh well totally get clam chowder tomorrow,negative
good morning twiggas and twitches  httpbbltwtcomsciif getcha motivation on,good morning twiggas twitches httpbbltwtcomsciif getcha motivation,positive
 hahayeahth of maylolim greeting in advance haha,hahayeahth maylolim greeting advance haha,positive
listening to those litle hyperbirdies terrorizing the world since  lets cook em,listening litle hyperbirdies terrorizing world since lets cook em,negative
 i was in front of u the other day i waved and u didnt  off to eddie izzard now,front u day waved u didnt eddie izzard,neutral
 love it really its simple i think of a word and put twi on the front i should be more clever,love really simple think word put twi front clever,positive
 thanks hun im wearing my new goldmine es and big false lashes but it doesnt show,thanks hun im wearing new goldmine es big false lashes doesnt show,neutral
 have a safe flight,safe flight,positive
 sly party enjoying life  partying tonightmaybe,sly party enjoying life partying tonightmaybe,positive
 ive had  for a while now just in case and yeah i start work there again tomorrow very excited,ive case yeah start work tomorrow excited,positive
 not a problem i loved that idea and of course the photos were just perfect,problem loved idea course photos perfect,positive
  not even a little bit biknightual  ha ha tweedeck doesnt see the spelling problem with bkha but love it anyway,even little bit biknightual ha ha tweedeck doesnt see spelling problem bkha love anyway,neutral
 no  and she was suggesting it for loan deferment,suggesting loan deferment,positive
srsly bgt joke maaan how lame ughhhh work tomorah have to get up early,srsly bgt joke maaan lame ughhhh work tomorah get early,negative
 i told u i tried but  said it was  late  cause the girl i was with took ever  get ready they wanted to meet up by ,told u tried said late cause girl took ever get ready wanted meet,negative
 you traitor  whiskey and coke is my aphrodisiac,traitor whiskey coke aphrodisiac,neutral
is still working  fb,still working fb,neutral
got my attics w sadie art work included  good times just broke my head phones bad times still happy buy attics,got attics w sadie art work included good times broke head phones bad times still happy buy attics,neutral
being followed by compliance  great   have to watch what i say now,followed compliance great watch say,positive
to the people i was txting sorry phone is dead and i cant resurrect it  hopefully verizon will replace it and ill it back by tonight,people txting sorry phone dead cant resurrect hopefully verizon replace ill back tonight,neutral
 hehe  now im smiling but u still gotta make it up to me,hehe im smiling u still got ta make,positive
i just fell going into my house not fun,fell going house fun,negative
 awww bless him  i am indeed coming  days woooo are you,awww bless indeed coming days woooo,positive
just got a shot on my arm eww,got shot arm eww,neutral
 so sorry i missed it,sorry missed,negative
trying to do a blend i know i suck at them but theres no harm in trying,trying blend know suck theres harm trying,negative
going home to get clothes,going home get clothes,neutral
 votes sadly no but did you vote for my log yet  im gonna vote for yours,votes sadly vote log yet im gon na vote,negative
happy mothers day to all the amazing women who put up with us crazy demanding children thank you  very very much,happy mothers day amazing women put us crazy demanding children thank much,positive
i cooked breakfast for my mom  happy,cooked breakfast mom happy,positive
missing ontario,missing ontario,neutral
you follow me  i follow you as simple as that,follow follow simple,neutral
had my lip pierced for about  minutes  and then it died,lip pierced minutes died,neutral
 i was thinking the swine markets are in decline but since we cant say that anymore,thinking swine markets decline since cant say anymore,negative
they just admitted my grandma to the hospital shes my only last one  please pray for her,admitted grandma hospital shes last one please pray,negative
tried  to sleep but i cant bout  call tisha,tried sleep cant bout call tisha,negative
